id,source_commit,source_path,element,classification,target_path,reason,license,financial_risk,security_risk,required_tests,status,reviewed_by
MIG-001,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/visualization,chart contracts palette and statuses,ADAPT,packages/vertex_core/visualization,pure contracts and semantic vocabulary are useful,project-owned,medium,low,schema property contrast and parity,planned,
MIG-002,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/validation,calibration drift and out-of-sample tools,ADAPT,research/validation,retain methods after point-in-time and oracle review,project-owned,critical,low,calibration leakage drift and mutation,planned,
MIG-003,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/research,research contracts walk-forward costs robustness,ADAPT,research,good donor for reproducible validation,project-owned,critical,medium,point-in-time purge embargo costs,planned,
MIG-004,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/options,pure option calculations and scenarios,ADAPT,packages/vertex_core/options,reuse only independently verified pure kernels,project-owned,critical,medium,OCC QuantLib properties oracle and edge cases,planned,
MIG-005,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/data_sources,quality provenance reconciliation and market adapters,ADAPT,apps/vertex_edge and packages/vertex_core/data,ports and forbidden calls require review,project-owned,critical,critical,contract entitlement pacing and forbidden scan,planned,
MIG-006,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/strategy/release_profiles,versioned strategy requirements,REFERENCE,manifests/strategy-profiles.yaml,retain horizons and cases without importing a second authority,project-owned,critical,low,schema and profile validation,planned,
MIG-007,c683c944f93f61d5fd22303df726fac6e79820fe,tests,invariants and synthetic fixtures,ADAPT,tests and fixtures/golden,tests are valuable but need independent oracles,project-owned,high,low,mutation and oracle independence,planned,
MIG-008,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/static and docs screenshots,Black Glass tokens journeys and visual evidence,REFERENCE,docs/05-design and design-assets,preserve intent without copying page density,project-owned,low,medium,license contrast accessibility and visual regression,planned,
MIG-009,c683c944f93f61d5fd22303df726fac6e79820fe,terminal.py,legacy monolith runtime,DROP,,incompatible owner boundaries and hot paths,project-owned,critical,critical,absence of runtime import,rejected,
MIG-010,c683c944f93f61d5fd22303df726fac6e79820fe,vertex/planning/order_ticket.py,order-shaped capability,DROP,,orders and transmissible tickets are outside product,project-owned,critical,critical,forbidden capability scan,rejected,
MIG-011,c683c944f93f61d5fd22303df726fac6e79820fe,docs and generated captures,historical documents and 359 PNG files,REFERENCE,,keep links and selected contact sheet only,project-owned,low,medium,provenance and no bulk copy,planned,
